Document,Contains Liquidity Preference,Priority Order,Number of Common Stocks Issued,Number of Preferred Stock Issued,Total Number of Stocks Issued,Common Stock Par Value Per Share,Preferred Stock Par Value Per Share
28_2007-06-15_Certificates of Incorporation,1,A=B=C,"60,000,000","33,952,073","93,952,073",$0.0010,$0.0010
28_2009-12-07_Certificates of Incorporation,0,N/A,"66,510,000","40,462,073","106,972,073",$0.0010,$0.0010
28_2009-12-17_Certificates of Incorporation,1,A=B=C,"81,583,601","45,864,172","127,447,773",$0.0010,$0.0010
28_2012-03-16_Certificates of Incorporation,1,A=B=C=D,"100,000,000","57,060,272","157,060,272",$0.0010,$0.0010
28_2012-05-09_Certificates of Incorporation,0,N/A,"100,000,000","58,160,272","158,160,272",$0.0010,$0.0010
34_2008-09-29_Certificates of Incorporation,1,A=B,"13,000,000","7,324,449","20,324,449",$0.0010,$0.0010
34_2010-01-28_Certificates of Incorporation,0,N/A,"15,500,000","9,699,449","25,199,449",$0.0010,$0.0010
35_2007-06-20_Certificates of Incorporation,1,"D, C, B, A","20,000,000","10,819,252","30,819,252",$0.0010,$0.0010
35_2007-10-29_Certificates of Incorporation,1,"E, D, C, B, A","25,000,000","10,279,240","35,279,240",$0.0010,$0.0010
35_2013-03-04_Certificates of Incorporation,1,"A-1, A-2","118,000,000","76,623,483","194,623,483",$0.0010,$0.0010
35_2017-09-29_Certificates of Incorporation,1,"B-2, B-1, A-1, A-2","150,000,000","103,502,224","253,502,224",$0.0010,$0.0010
35_2018-02-23_Certificates of Incorporation,1,"B-3, B-2, B-1, A-1, A-2","170,000,000","120,528,331","290,528,331",$0.0010,$0.0010
43_2005-10-31_Certificates of Incorporation,1,1,"10,000,000","4,000,000","14,000,000",$0.0001,$0.0001
43_2007-01-26_Certificates of Incorporation,1,"1, A","20,000,000","11,000,000","31,000,000",$0.0001,$0.0001
45_2008-01-17_Certificates of Incorporation,1,"B, A","11,800,000","8,660,000","20,460,000",$0.0010,$0.0010
48_2004-07-29_Certificates of Incorporation,0,N/A,"10,000,000",N/A,"10,000,000",N/A,N/A
48_2004-10-08_Certificates of Incorporation,0,N/A,"25,000,000",N/A,"25,000,000",N/A,N/A
48_2004-10-19_Certificates of Incorporation,1,Preferred Stock,"50,000,000","18,485,000","68,485,000",$0.0000,$0.0000
48_2005-04-11_Certificates of Incorporation,0,N/A,N/A,N/A,0,N/A,N/A
48_2005-06-30_Certificates of Incorporation,0,N/A,"100,000,000","35,924,202","135,924,202",$0.0000,$0.0000
48_2006-07-25_Certificates of Incorporation,1,A=B,"100,000,000","54,012,437","154,012,437",$0.0000,$0.0000
48_2006-09-14_Certificates of Incorporation,0,N/A,"100,000,000","59,894,790","159,894,790",$0.0000,$0.0000
48_2008-02-25_Certificates of Incorporation,1,A=B=C,"175,000,000","108,885,756","283,885,756",$0.0000,$0.0000
48_2009-03-30_Certificates of Incorporation,1,A=B=C,"175,000,000","114,647,239","289,647,239",$0.0000,$0.0000
48_2011-03-30_Certificates of Incorporation,0,N/A,"176,000,000","114,647,239","290,647,239",$0.0000,$0.0000
48_2013-06-27_Certificates of Incorporation,1,A=B=C=D,"246,000,000","114,749,975","360,749,975",$0.0000,$0.0000
48_2013-12-06_Certificates of Incorporation,1,A=B=C=D,"246,000,000","114,749,975","360,749,975",$0.0000,$0.0000
48_2014-03-06_Certificates of Incorporation,0,N/A,"246,000,000","114,749,975","360,749,975",$0.0000,$0.0000
49_2006-01-30_Certificates of Incorporation,1,"A=A-1=B=C, B-1","45,000,000","31,338,003","76,338,003",$0.0010,$0.0010
49_2007-01-23_Certificates of Incorporation,1,"A=A-1=B=C=D, B-1","55,000,000","37,583,303","92,583,303",$0.0010,$0.0010
49_2007-08-03_Certificates of Incorporation,1,"A=A-1=B=C=D, B-1","59,600,000","42,156,035","101,756,035",$0.0010,$0.0010
49_2008-05-06_Certificates of Incorporation,1,"A=A-1=B=C=D=E, B-1","100,000,000","47,688,561","147,688,561",$0.0010,$0.0010
49_2008-06-12_Certificates of Incorporation,1,"A=A-1=B=C=D=E, B-1","100,000,000","48,291,249","148,291,249",$0.0010,$0.0010
59_2006-05-01_Certificates of Incorporation,1,A=S,"5,937,500","3,312,500","9,250,000",$0.0001,$0.0001
59_2007-08-15_Certificates of Incorporation,1,A=S,"7,812,500","5,187,500","13,000,000",$0.0001,$0.0001
63_2007-05-24_Certificates of Incorporation,1,"C, A=B","45,000,000","28,412,859","73,412,859",$0.0001,$0.0001
65_2010-04-05_Certificates of Incorporation,0,N/A,"17,000,000","6,653,598","23,653,598",$0.0010,$0.0010
66_2004-02-11_Certificates of Incorporation,1,A=B,"43,061,725","25,361,725","68,423,450",$0.0010,$0.0010
77_2004-10-25_Certificates of Incorporation,1,"C, B, A","25,000,000","15,848,026","40,848,026",$0.0010,$0.0010
81_2006-07-28_Certificates of Incorporation,1,"B, A","60,000,000","43,711,980","103,711,980",$0.0010,$0.0010
81_2007-10-23_Certificates of Incorporation,1,"C, B, A","75,000,000","54,937,435","129,937,435",$0.0010,$0.0010
81_2009-11-06_Certificates of Incorporation,0,N/A,N/A,N/A,0,N/A,N/A
81_2009-12-03_Certificates of Incorporation,1,"D, C=C-1, B, A","83,686,335","60,455,272","144,141,607",$0.0010,$0.0010
81_2010-03-17_Certificates of Incorporation,0,N/A,"83,941,112","60,710,049","144,651,161",$0.0010,$0.0010
81_2010-06-10_Certificates of Incorporation,1,"E, D, C=C-1, B, A","91,515,101","64,372,471","155,887,572",$0.0010,$0.0010
81_2011-12-22_Certificates of Incorporation,1,"F, E, D, C=C-1, B, A","104,013,161","74,077,227","178,090,388",$0.0010,$0.0010
89_2010-12-07_Certificates of Incorporation,1,"C, B, A3, A2, A1","75,000,000","57,040,769","132,040,769",$0.0010,$0.0010
92_2004-11-23_Certificates of Incorporation,1,A=B=C,"19,375,000","11,839,309","31,214,309",$0.0001,$0.0001
92_2007-12-20_Certificates of Incorporation,1,A=B=C=D=E,"42,000,000","28,443,627","70,443,627",$0.0001,$0.0001
92_2010-02-23_Certificates of Incorporation,1,A=B=C=D=E,"49,000,000","32,325,882","81,325,882",$0.0001,$0.0001
100_2007-02-22_Certificates of Incorporation,1,A=B=C,"60,000,000","38,416,115","98,416,115",$0.0010,$0.0010
100_2008-12-03_Certificates of Incorporation,1,"D, A=B=C","72,000,000","42,904,578","114,904,578",$0.0010,$0.0010
